Budget,Channel Group,Response,Region ,Country,Brand,Channel
5000,Purina OneSocial Pinterest Bifensis Microbiome,64169.90472,EUR,UK,Purina One,Social Pinterest Bifensis Microbiome
5000,Purina OneShopmiumBifensis Microbiome,99211.47481,EUR,UK,Purina One,ShopmiumBifensis Microbiome
5000,Purina OneProgrammatic VideoBifensis Microbiome,254.4493466,EUR,UK,Purina One,Programmatic VideoBifensis Microbiome
5000,Purina OneBVODBifensis Microbiome,98038.00872,EUR,UK,Purina One,BVODBifensis Microbiome
5000,Purina OneSocial PinterestBifensis Microbiome,31255.29743,EUR,UK,Purina One,Social PinterestBifensis Microbiome
6000,BakersBVODSuper Foods,6004.217531,EUR,UK,Bakers,BVODSuper Foods
6000,BakersProgrammatic VideoSuper Foods,4506.006112,EUR,UK,Bakers,Programmatic VideoSuper Foods
6000,BakersYoutubeSuper Foods,4502.60126,EUR,UK,Bakers,YoutubeSuper Foods
6000,BakersDirect VideoSuper Foods,5.513466852,EUR,UK,Bakers,Direct VideoSuper Foods
6000,BakersTVSuper Foods,7345.16272,EUR,UK,Bakers,TVSuper Foods
6000,BakersSocial FB IGBakers FB&IG,19216.96901,EUR,UK,Bakers,Social FB IGBakers FB&IG
6000,WinalotDisplayWinalot Great British Dogs Partnership,675667.4287,EUR,UK,Winalot,DisplayWinalot Great British Dogs Partnership
6000,WinalotSocialWinalot Great British Dogs Partnership,61286.63797,EUR,UK,Winalot,SocialWinalot Great British Dogs Partnership
6000,WinalotPrintWinalot Great British Dogs Partnership,143731.6805,EUR,UK,Winalot,PrintWinalot Great British Dogs Partnership
6000,WinalotDigitalWinalot Great British Dogs Partnership,19955.40783,EUR,UK,Winalot,DigitalWinalot Great British Dogs Partnership
6000,FelixBVODNaturally Delicious,37919.13313,EUR,UK,Felix,BVODNaturally Delicious
6000,FelixYoutubeNaturally Delicious,463.0051173,EUR,UK,Felix,YoutubeNaturally Delicious
6000,FelixSocial FB IGFelix Treats,5614.635239,EUR,UK,Felix,Social FB IGFelix Treats
6000,FelixTVIGTBAC,27532.83838,EUR,UK,Felix,TVIGTBAC
6000,FelixShopmiumNaturally Delicious,67285.72656,EUR,UK,Felix,ShopmiumNaturally Delicious
6000,FelixSocial FB IGFelix PicknMix,11752.2668,EUR,UK,Felix,Social FB IGFelix PicknMix
6000,FelixSocial SnapchatFelix PicknMix,6765.878522,EUR,UK,Felix,Social SnapchatFelix PicknMix
6000,FelixProgrammatic DisplayNaturally Delicious,64378.9664,EUR,UK,Felix,Programmatic DisplayNaturally Delicious
6000,FelixSocial FB IGIGTBAC,37196.31039,EUR,UK,Felix,Social FB IGIGTBAC
6000,FelixProgrammatic VideoIGTBAC,4.47049495,EUR,UK,Felix,Programmatic VideoIGTBAC
6000,FelixBVODIGTBAC,196609.7774,EUR,UK,Felix,BVODIGTBAC
6000,FelixYouTubeIGTBAC,22523.89153,EUR,UK,Felix,YouTubeIGTBAC
6000,FelixSocial TikTokIGTBAC,23451.13946,EUR,UK,Felix,Social TikTokIGTBAC
6000,GourmetBVODGourmet Mon Petit,6451.740338,EUR,UK,Gourmet,BVODGourmet Mon Petit
6000,GourmetProgrammatic VideoGourmet Mon Petit,1132.072742,EUR,UK,Gourmet,Programmatic VideoGourmet Mon Petit
6000,GourmetSocial FB IGGourmet Mon Petit,427.1591493,EUR,UK,Gourmet,Social FB IGGourmet Mon Petit
6000,GourmetSocial PinterestGourmet Mon Petit,11432.79484,EUR,UK,Gourmet,Social PinterestGourmet Mon Petit
6000,GourmetTVGourmet Revelations,14.24182168,EUR,UK,Gourmet,TVGourmet Revelations
6000,GourmetShopmiumGourmet Mon Petit,9274.683861,EUR,UK,Gourmet,ShopmiumGourmet Mon Petit
6000,GourmetTVGourmet Mon Petit,9335.617844,EUR,UK,Gourmet,TVGourmet Mon Petit
6000,GourmetSocial FB IGGourmet Revelations,98.76202639,EUR,UK,Gourmet,Social FB IGGourmet Revelations
6000,GourmetSocial PinterestGourmet Revelations,14123.40673,EUR,UK,Gourmet,Social PinterestGourmet Revelations
6000,GourmetShopmiumGourmet Revelations,6.501748469,EUR,UK,Gourmet,ShopmiumGourmet Revelations
6000,GourmetBVODGourmet Revelations,198.9832342,EUR,UK,Gourmet,BVODGourmet Revelations
6000,GourmetYouTubeGourmet Revelations,0.068600502,EUR,UK,Gourmet,YouTubeGourmet Revelations
6000,GourmetProgrammatic VideoGourmet Revelations,0.002129165,EUR,UK,Gourmet,Programmatic VideoGourmet Revelations
6000,Purina OneTVBifensis Microbiome,8262.527209,EUR,UK,Purina One,TVBifensis Microbiome
6000,Purina OneSocial Pinterest Bifensis Microbiome,76986.40136,EUR,UK,Purina One,Social Pinterest Bifensis Microbiome
6000,Purina OneShopmiumBifensis Microbiome,114950.3924,EUR,UK,Purina One,ShopmiumBifensis Microbiome
6000,Purina OneProgrammatic VideoBifensis Microbiome,305.2603905,EUR,UK,Purina One,Programmatic VideoBifensis Microbiome
6000,Purina OneBVODBifensis Microbiome,114042.538,EUR,UK,Purina One,BVODBifensis Microbiome
6000,Purina OneSocial PinterestBifensis Microbiome,37497.84082,EUR,UK,Purina One,Social PinterestBifensis Microbiome
7000,BakersBVODSuper Foods,6040.469696,EUR,UK,Bakers,BVODSuper Foods
7000,BakersProgrammatic VideoSuper Foods,5255.00681,EUR,UK,Bakers,Programmatic VideoSuper Foods
7000,BakersYoutubeSuper Foods,5250.985779,EUR,UK,Bakers,YoutubeSuper Foods
