Time_Period,Budget/Revenue,Value,Optimisation Type,Channel,Scenario
09/07/2023,ST Revenue,2976.401997,Blended,Shopmium,Actual Budget - Not Optimised
09/07/2023,ST Revenue,178.242488,Blended,Programmatic Video,Actual Budget - Not Optimised
09/07/2023,ST Revenue,71892.45968,Blended,BVOD,Actual Budget - Not Optimised
09/07/2023,ST Revenue,16720.63502,Blended,Social Pinterest,Actual Budget - Not Optimised
22/01/2023,LT Revenue,0,Blended,BVOD,Actual Budget - Not Optimised
29/01/2023,LT Revenue,0,Blended,BVOD,Actual Budget - Not Optimised
05/02/2023,LT Revenue,3880.079979,Blended,BVOD,Actual Budget - Not Optimised
12/02/2023,LT Revenue,4471.06434,Blended,BVOD,Actual Budget - Not Optimised
19/02/2023,LT Revenue,4502.378427,Blended,BVOD,Actual Budget - Not Optimised
26/02/2023,LT Revenue,4504.037652,Blended,BVOD,Actual Budget - Not Optimised
05/03/2023,LT Revenue,4504.125568,Blended,BVOD,Actual Budget - Not Optimised
12/03/2023,LT Revenue,4504.130227,Blended,BVOD,Actual Budget - Not Optimised
19/03/2023,LT Revenue,238.6656188,Blended,BVOD,Actual Budget - Not Optimised
26/03/2023,LT Revenue,12.64608956,Blended,BVOD,Actual Budget - Not Optimised
02/04/2023,LT Revenue,0.670072793,Blended,BVOD,Actual Budget - Not Optimised
09/04/2023,LT Revenue,0.035504847,Blended,BVOD,Actual Budget - Not Optimised
16/04/2023,LT Revenue,0.001881276,Blended,BVOD,Actual Budget - Not Optimised
23/04/2023,LT Revenue,9.97E-05,Blended,BVOD,Actual Budget - Not Optimised
30/04/2023,LT Revenue,5.29E-06,Blended,BVOD,Actual Budget - Not Optimised
07/05/2023,LT Revenue,2.80E-07,Blended,BVOD,Actual Budget - Not Optimised
14/05/2023,LT Revenue,1.55E-08,Blended,BVOD,Actual Budget - Not Optimised
21/05/2023,LT Revenue,0,Blended,BVOD,Actual Budget - Not Optimised
28/05/2023,LT Revenue,0,Blended,BVOD,Actual Budget - Not Optimised
04/06/2023,LT Revenue,2798.38235,Blended,BVOD,Actual Budget - Not Optimised
11/06/2023,LT Revenue,2946.655873,Blended,BVOD,Actual Budget - Not Optimised
18/06/2023,LT Revenue,2954.512367,Blended,BVOD,Actual Budget - Not Optimised
25/06/2023,LT Revenue,2954.928656,Blended,BVOD,Actual Budget - Not Optimised
02/07/2023,LT Revenue,2954.950713,Blended,BVOD,Actual Budget - Not Optimised
09/07/2023,LT Revenue,156.5757905,Blended,BVOD,Actual Budget - Not Optimised
22/01/2023,Budget,55418.56927,Blended,TV,Actual Budget - Optimised
22/01/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Optimised
22/01/2023,Budget,0,Blended,Shopmium,Actual Budget - Optimised
22/01/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Optimised
22/01/2023,Budget,0,Blended,BVOD,Actual Budget - Optimised
22/01/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Optimised
29/01/2023,Budget,55418.56927,Blended,TV,Actual Budget - Optimised
29/01/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Optimised
29/01/2023,Budget,0,Blended,Shopmium,Actual Budget - Optimised
