index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
176,270000,OOH,78185.13824727703,Mexico,Nesquik,OOH
177,280000,OOH,80667.44361247463,Mexico,Nesquik,OOH
178,290000,OOH,83123.19838558286,Mexico,Nesquik,OOH
179,300000,OOH,85552.68655017203,Mexico,Nesquik,OOH
180,310000,OOH,87956.189052341,Mexico,Nesquik,OOH
181,320000,OOH,90333.98383320555,Mexico,Nesquik,OOH
182,330000,OOH,92686.34586103976,Mexico,Nesquik,OOH
183,340000,OOH,95013.54716307318,Mexico,Nesquik,OOH
184,350000,OOH,97315.85685694811,Mexico,Nesquik,OOH
185,360000,OOH,99593.54118184048,Mexico,Nesquik,OOH
186,370000,OOH,101846.8635292475,Mexico,Nesquik,OOH
187,380000,OOH,104076.0844734466,Mexico,Nesquik,OOH
188,390000,OOH,106281.46180162794,Mexico,Nesquik,OOH
189,400000,OOH,108463.25054370516,Mexico,Nesquik,OOH
190,410000,OOH,110621.70300180692,Mexico,Nesquik,OOH
191,420000,OOH,112757.06877945316,Mexico,Nesquik,OOH
192,430000,OOH,114869.5948104192,Mexico,Nesquik,OOH
193,440000,OOH,116959.52538729139,Mexico,Nesquik,OOH
194,450000,OOH,119027.10218971677,Mexico,Nesquik,OOH
195,460000,OOH,121072.56431235121,Mexico,Nesquik,OOH
196,470000,OOH,123096.14829250822,Mexico,Nesquik,OOH
197,480000,OOH,125098.08813751205,Mexico,Nesquik,OOH
198,490000,OOH,127078.61535175848,Mexico,Nesquik,OOH
199,500000,OOH,129037.95896348577,Mexico,Nesquik,OOH
200,510000,OOH,130976.34555125974,Mexico,Nesquik,OOH
201,520000,OOH,132893.99927017518,Mexico,Nesquik,OOH
202,530000,OOH,134791.14187777718,Mexico,Nesquik,OOH
203,540000,OOH,136667.99275970506,Mexico,Nesquik,OOH
204,550000,OOH,138524.76895506246,Mexico,Nesquik,OOH
205,560000,OOH,140361.68518151538,Mexico,Nesquik,OOH
206,570000,OOH,142178.9538601224,Mexico,Nesquik,OOH
207,580000,OOH,143976.7851398989,Mexico,Nesquik,OOH
208,590000,OOH,145755.38692211872,Mexico,Nesquik,OOH
209,600000,OOH,147514.96488435607,Mexico,Nesquik,OOH
210,610000,OOH,149255.7225042698,Mexico,Nesquik,OOH
211,620000,OOH,150977.86108313364,Mexico,Nesquik,OOH
212,630000,OOH,152681.57976911493,Mexico,Nesquik,OOH
213,640000,OOH,154367.07558030382,Mexico,Nesquik,OOH
214,650000,OOH,156034.54342749654,Mexico,Nesquik,OOH
215,660000,OOH,157684.176136735,Mexico,Nesquik,OOH
216,670000,OOH,159316.164471605,Mexico,Nesquik,OOH
217,680000,OOH,160930.69715529637,Mexico,Nesquik,OOH
218,690000,OOH,162527.96089242678,Mexico,Nesquik,OOH
219,700000,OOH,164108.1403906322,Mexico,Nesquik,OOH
220,710000,OOH,165671.41838192675,Mexico,Nesquik,OOH
221,720000,OOH,167217.97564383358,Mexico,Nesquik,OOH
222,730000,OOH,168747.9910202901,Mexico,Nesquik,OOH
223,740000,OOH,170261.6414423295,Mexico,Nesquik,OOH
224,750000,OOH,171759.10194854112,Mexico,Nesquik,OOH
225,760000,OOH,173240.54570531176,Mexico,Nesquik,OOH
226,770000,OOH,174706.14402685073,Mexico,Nesquik,OOH
227,780000,OOH,176156.06639500076,Mexico,Nesquik,OOH
228,790000,OOH,177590.4804788366,Mexico,Nesquik,OOH
229,800000,OOH,179009.55215405463,Mexico,Nesquik,OOH
230,810000,OOH,180413.44552215436,Mexico,Nesquik,OOH
231,820000,OOH,181802.3229294154,Mexico,Nesquik,OOH
232,830000,OOH,183176.3449856712,Mexico,Nesquik,OOH
233,840000,OOH,184535.67058288166,Mexico,Nesquik,OOH
234,850000,OOH,185880.4569135079,Mexico,Nesquik,OOH
235,860000,OOH,187210.85948868954,Mexico,Nesquik,OOH
236,870000,OOH,188527.03215622823,Mexico,Nesquik,OOH
237,880000,OOH,189829.12711837867,Mexico,Nesquik,OOH
238,890000,OOH,191117.29494944907,Mexico,Nesquik,OOH
239,900000,OOH,192391.68461321387,Mexico,Nesquik,OOH
240,910000,OOH,193652.44348013957,Mexico,Nesquik,OOH
241,920000,OOH,194899.71734442693,Mexico,Nesquik,OOH
242,930000,OOH,196133.65044087052,Mexico,Nesquik,OOH
243,940000,OOH,197354.38546153804,Mexico,Nesquik,OOH
244,950000,OOH,198562.06357227123,Mexico,Nesquik,OOH
245,960000,OOH,199756.82442901022,Mexico,Nesquik,OOH
246,970000,OOH,200938.8061939435,Mexico,Nesquik,OOH
247,980000,OOH,202108.14555148492,Mexico,Nesquik,OOH
248,990000,OOH,203264.97772407994,Mexico,Nesquik,OOH
249,1000000,OOH,204409.4364878425,Mexico,Nesquik,OOH
250,1010000,OOH,205541.6541880253,Mexico,Nesquik,OOH
251,1020000,OOH,206661.76175432396,Mexico,Nesquik,OOH
252,1030000,OOH,207769.8887160177,Mexico,Nesquik,OOH
253,1040000,OOH,208866.1632169483,Mexico,Nesquik,OOH
254,1050000,OOH,209950.7120303385,Mexico,Nesquik,OOH
255,1060000,OOH,211023.66057345207,Mexico,Nesquik,OOH
256,1070000,OOH,212085.13292209723,Mexico,Nesquik,OOH
257,1080000,OOH,213135.2518249745,Mexico,Nesquik,OOH
258,1090000,OOH,214174.13871787168,Mexico,Nesquik,OOH
259,1100000,OOH,215201.91373770635,Mexico,Nesquik,OOH
260,1110000,OOH,216218.6957364189,Mexico,Nesquik,OOH
261,1120000,OOH,217224.60229471614,Mexico,Nesquik,OOH
262,1130000,OOH,218219.7497356688,Mexico,Nesquik,OOH
263,1140000,OOH,219204.25313816272,Mexico,Nesquik,OOH
264,1150000,OOH,220178.22635020674,Mexico,Nesquik,OOH
265,1160000,OOH,221141.78200209822,Mexico,Nesquik,OOH
266,1170000,OOH,222095.03151944745,Mexico,Nesquik,OOH
267,1180000,OOH,223038.08513606281,Mexico,Nesquik,OOH
268,1190000,OOH,223971.05190669856,Mexico,Nesquik,OOH
269,1200000,OOH,224894.0397196656,Mexico,Nesquik,OOH
270,1210000,OOH,225807.1553093079,Mexico,Nesquik,OOH
271,1220000,OOH,226710.50426834502,Mexico,Nesquik,OOH
272,1230000,OOH,227604.19106008313,Mexico,Nesquik,OOH
273,1240000,OOH,228488.31903049504,Mexico,Nesquik,OOH
274,1250000,OOH,229362.99042017097,Mexico,Nesquik,OOH
275,1260000,OOH,230228.306376142,Mexico,Nesquik,OOH
276,1270000,OOH,231084.36696357632,Mexico,Nesquik,OOH
277,1280000,OOH,231931.27117735118,Mexico,Nesquik,OOH
278,1290000,OOH,232769.11695350026,Mexico,Nesquik,OOH
279,1300000,OOH,233598.00118053932,Mexico,Nesquik,OOH
280,1310000,OOH,234418.0197106701,Mexico,Nesquik,OOH
281,1320000,OOH,235229.26737086516,Mexico,Nesquik,OOH
282,1330000,OOH,236031.83797383288,Mexico,Nesquik,OOH
283,1340000,OOH,236825.8243288668,Mexico,Nesquik,OOH
284,1350000,OOH,237611.31825257756,Mexico,Nesquik,OOH
285,1360000,OOH,238388.4105795108,Mexico,Nesquik,OOH
286,1370000,OOH,239157.19117265107,Mexico,Nesquik,OOH
287,1380000,OOH,239917.74893381403,Mexico,Nesquik,OOH
288,1390000,OOH,240670.17181392634,Mexico,Nesquik,OOH
289,1400000,OOH,241414.54682319704,Mexico,Nesquik,OOH
290,1410000,OOH,242150.96004117897,Mexico,Nesquik,OOH
291,1420000,OOH,242879.4966267232,Mexico,Nesquik,OOH
292,1430000,OOH,243600.24082782667,Mexico,Nesquik,OOH
293,1440000,OOH,244313.27599137477,Mexico,Nesquik,OOH
294,1450000,OOH,245018.68457277937,Mexico,Nesquik,OOH
295,1460000,OOH,245716.54814551433,Mexico,Nesquik,OOH
296,1470000,OOH,246406.94741054828,Mexico,Nesquik,OOH
297,1480000,OOH,247089.96220567703,Mexico,Nesquik,OOH
298,1490000,OOH,247765.67151475613,Mexico,Nesquik,OOH
299,1500000,OOH,248434.1534768344,Mexico,Nesquik,OOH
300,10000,Open TV,3318.957872982856,Mexico,Nesquik,TV
301,20000,Open TV,5040.996344552815,Mexico,Nesquik,TV
302,30000,Open TV,5934.474541943094,Mexico,Nesquik,TV
303,40000,Open TV,6398.054945279832,Mexico,Nesquik,TV
304,50000,Open TV,6638.583243547844,Mexico,Nesquik,TV
305,60000,Open TV,6763.381146675947,Mexico,Nesquik,TV
306,70000,Open TV,6828.1324326465365,Mexico,Nesquik,TV
307,80000,Open TV,6861.728582339383,Mexico,Nesquik,TV
308,90000,Open TV,6879.159916053694,Mexico,Nesquik,TV
309,100000,Open TV,6888.2041487362385,Mexico,Nesquik,TV
310,110000,Open TV,6892.896741176761,Mexico,Nesquik,TV
311,120000,Open TV,6895.331488776228,Mexico,Nesquik,TV
312,130000,Open TV,6896.594755498886,Mexico,Nesquik,TV
313,140000,Open TV,6897.250200364271,Mexico,Nesquik,TV
314,150000,Open TV,6897.590277375603,Mexico,Nesquik,TV
315,160000,Open TV,6897.766726043898,Mexico,Nesquik,TV
316,170000,Open TV,6897.858276285477,Mexico,Nesquik,TV
317,180000,Open TV,6897.90577705051,Mexico,Nesquik,TV
318,190000,Open TV,6897.930422782075,Mexico,Nesquik,TV
319,200000,Open TV,6897.943210198951,Mexico,Nesquik,TV
320,210000,Open TV,6897.9498449393295,Mexico,Nesquik,TV
321,220000,Open TV,6897.953287368736,Mexico,Nesquik,TV
322,230000,Open TV,6897.955073470307,Mexico,Nesquik,TV
323,240000,Open TV,6897.95600018759,Mexico,Nesquik,TV
324,250000,Open TV,6897.956481014064,Mexico,Nesquik,TV
325,260000,Open TV,6897.956730490471,Mexico,Nesquik,TV
326,270000,Open TV,6897.956859931093,Mexico,Nesquik,TV
327,280000,Open TV,6897.95692709125,Mexico,Nesquik,TV
328,290000,Open TV,6897.9569619372405,Mexico,Nesquik,TV
329,300000,Open TV,6897.956980017053,Mexico,Nesquik,TV
330,310000,Open TV,6897.956989397749,Mexico,Nesquik,TV
331,320000,Open TV,6897.956994264914,Mexico,Nesquik,TV
332,330000,Open TV,6897.956996790239,Mexico,Nesquik,TV
333,340000,Open TV,6897.956998100502,Mexico,Nesquik,TV
334,350000,Open TV,6897.95699878033,Mexico,Nesquik,TV
335,360000,Open TV,6897.956999133058,Mexico,Nesquik,TV
336,370000,Open TV,6897.956999316071,Mexico,Nesquik,TV
337,380000,Open TV,6897.956999411028,Mexico,Nesquik,TV
338,390000,Open TV,6897.956999460295,Mexico,Nesquik,TV
339,400000,Open TV,6897.956999485858,Mexico,Nesquik,TV
340,410000,Open TV,6897.956999499121,Mexico,Nesquik,TV
341,420000,Open TV,6897.956999506003,Mexico,Nesquik,TV
342,430000,Open TV,6897.956999509573,Mexico,Nesquik,TV
343,440000,Open TV,6897.956999511425,Mexico,Nesquik,TV
344,450000,Open TV,6897.9569995123875,Mexico,Nesquik,TV
345,460000,Open TV,6897.956999512886,Mexico,Nesquik,TV
346,470000,Open TV,6897.956999513144,Mexico,Nesquik,TV
347,480000,Open TV,6897.956999513279,Mexico,Nesquik,TV
348,490000,Open TV,6897.956999513348,Mexico,Nesquik,TV
349,500000,Open TV,6897.956999513384,Mexico,Nesquik,TV
350,510000,Open TV,6897.956999513403,Mexico,Nesquik,TV
351,520000,Open TV,6897.9569995134125,Mexico,Nesquik,TV
352,530000,Open TV,6897.956999513418,Mexico,Nesquik,TV
353,540000,Open TV,6897.956999513421,Mexico,Nesquik,TV
354,550000,Open TV,6897.956999513422,Mexico,Nesquik,TV
355,560000,Open TV,6897.9569995134225,Mexico,Nesquik,TV
356,570000,Open TV,6897.9569995134225,Mexico,Nesquik,TV
357,580000,Open TV,6897.956999513423,Mexico,Nesquik,TV
358,590000,Open TV,6897.956999513423,Mexico,Nesquik,TV
359,600000,Open TV,6897.956999513423,Mexico,Nesquik,TV
360,610000,Open TV,6897.956999513423,Mexico,Nesquik,TV
361,620000,Open TV,6897.956999513423,Mexico,Nesquik,TV
362,630000,Open TV,6897.956999513423,Mexico,Nesquik,TV
363,640000,Open TV,6897.956999513423,Mexico,Nesquik,TV
364,650000,Open TV,6897.956999513423,Mexico,Nesquik,TV
365,660000,Open TV,6897.956999513423,Mexico,Nesquik,TV
366,670000,Open TV,6897.956999513423,Mexico,Nesquik,TV
367,680000,Open TV,6897.956999513423,Mexico,Nesquik,TV
368,690000,Open TV,6897.956999513423,Mexico,Nesquik,TV
369,700000,Open TV,6897.956999513423,Mexico,Nesquik,TV
370,710000,Open TV,6897.956999513423,Mexico,Nesquik,TV
371,720000,Open TV,6897.956999513423,Mexico,Nesquik,TV
372,730000,Open TV,6897.956999513423,Mexico,Nesquik,TV
373,740000,Open TV,6897.956999513423,Mexico,Nesquik,TV
374,750000,Open TV,6897.956999513423,Mexico,Nesquik,TV
375,760000,Open TV,6897.956999513423,Mexico,Nesquik,TV
376,770000,Open TV,6897.956999513423,Mexico,Nesquik,TV
377,780000,Open TV,6897.956999513423,Mexico,Nesquik,TV
378,790000,Open TV,6897.956999513423,Mexico,Nesquik,TV
379,800000,Open TV,6897.956999513423,Mexico,Nesquik,TV
380,810000,Open TV,6897.956999513423,Mexico,Nesquik,TV
381,820000,Open TV,6897.956999513423,Mexico,Nesquik,TV
382,830000,Open TV,6897.956999513423,Mexico,Nesquik,TV
383,840000,Open TV,6897.956999513423,Mexico,Nesquik,TV
