index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
244,2450000,Facebook,66957.75828357074,Mexico,Nesquik,Social
245,2460000,Facebook,66961.61813325396,Mexico,Nesquik,Social
246,2470000,Facebook,66965.38383498265,Mexico,Nesquik,Social
247,2480000,Facebook,66969.05768517716,Mexico,Nesquik,Social
248,2490000,Facebook,66972.64192424445,Mexico,Nesquik,Social
249,2500000,Facebook,66976.13873794432,Mexico,Nesquik,Social
250,2510000,Facebook,66979.55025872239,Mexico,Nesquik,Social
251,2520000,Facebook,66982.87856701048,Mexico,Nesquik,Social
252,2530000,Facebook,66986.12569249535,Mexico,Nesquik,Social
253,2540000,Facebook,66989.29361535638,Mexico,Nesquik,Social
254,2550000,Facebook,66992.38426747323,Mexico,Nesquik,Social
255,2560000,Facebook,66995.39953360388,Mexico,Nesquik,Social
256,2570000,Facebook,66998.34125253402,Mexico,Nesquik,Social
257,2580000,Facebook,67001.21121819844,Mexico,Nesquik,Social
258,2590000,Facebook,67004.01118077489,Mexico,Nesquik,Social
259,2600000,Facebook,67006.74284775152,Mexico,Nesquik,Social
260,2610000,Facebook,67009.40788496808,Mexico,Nesquik,Social
261,2620000,Facebook,67012.00791763182,Mexico,Nesquik,Social
262,2630000,Facebook,67014.54453130852,Mexico,Nesquik,Social
263,2640000,Facebook,67017.0192728895,Mexico,Nesquik,Social
264,2650000,Facebook,67019.4336515349,Mexico,Nesquik,Social
265,2660000,Facebook,67021.78913959397,Mexico,Nesquik,Social
266,2670000,Facebook,67024.08717350305,Mexico,Nesquik,Social
267,2680000,Facebook,67026.32915466145,Mexico,Nesquik,Social
268,2690000,Facebook,67028.51645028609,Mexico,Nesquik,Social
269,2700000,Facebook,67030.65039424527,Mexico,Nesquik,Social
270,2710000,Facebook,67032.73228787212,Mexico,Nesquik,Social
271,2720000,Facebook,67034.7634007581,Mexico,Nesquik,Social
272,2730000,Facebook,67036.74497152733,Mexico,Nesquik,Social
273,2740000,Facebook,67038.6782085919,Mexico,Nesquik,Social
274,2750000,Facebook,67040.56429088874,Mexico,Nesquik,Social
275,2760000,Facebook,67042.40436859865,Mexico,Nesquik,Social
276,2770000,Facebook,67044.19956384764,Mexico,Nesquik,Social
277,2780000,Facebook,67045.95097139127,Mexico,Nesquik,Social
278,2790000,Facebook,67047.65965928225,Mexico,Nesquik,Social
279,2800000,Facebook,67049.32666952175,Mexico,Nesquik,Social
280,2810000,Facebook,67050.95301869485,Mexico,Nesquik,Social
281,2820000,Facebook,67052.53969859051,Mexico,Nesquik,Social
282,2830000,Facebook,67054.08767680633,Mexico,Nesquik,Social
283,2840000,Facebook,67055.59789733867,Mexico,Nesquik,Social
284,2850000,Facebook,67057.07128115825,Mexico,Nesquik,Social
285,2860000,Facebook,67058.50872677189,Mexico,Nesquik,Social
286,2870000,Facebook,67059.91111077035,Mexico,Nesquik,Social
287,2880000,Facebook,67061.27928836292,Mexico,Nesquik,Social
288,2890000,Facebook,67062.61409389898,Mexico,Nesquik,Social
289,2900000,Facebook,67063.91634137677,Mexico,Nesquik,Social
290,2910000,Facebook,67065.1868249398,Mexico,Nesquik,Social
291,2920000,Facebook,67066.42631936113,Mexico,Nesquik,Social
292,2930000,Facebook,67067.6355805159,Mexico,Nesquik,Social
293,2940000,Facebook,67068.81534584219,Mexico,Nesquik,Social
294,2950000,Facebook,67069.96633479079,Mexico,Nesquik,Social
295,2960000,Facebook,67071.08924926394,Mexico,Nesquik,Social
296,2970000,Facebook,67072.18477404334,Mexico,Nesquik,Social
297,2980000,Facebook,67073.25357720775,Mexico,Nesquik,Social
298,2990000,Facebook,67074.29631054045,Mexico,Nesquik,Social
299,3000000,Facebook,67075.31360992663,Mexico,Nesquik,Social
300,3010000,Facebook,67076.30609574125,Mexico,Nesquik,Social
301,3020000,Facebook,67077.2743732273,Mexico,Nesquik,Social
302,3030000,Facebook,67078.21903286494,Mexico,Nesquik,Social
303,3040000,Facebook,67079.14065073156,Mexico,Nesquik,Social
304,3050000,Facebook,67080.03978885306,Mexico,Nesquik,Social
305,3060000,Facebook,67080.91699554668,Mexico,Nesquik,Social
306,3070000,Facebook,67081.7728057553,Mexico,Nesquik,Social
307,3080000,Facebook,67082.60774137365,Mexico,Nesquik,Social
308,3090000,Facebook,67083.42231156664,Mexico,Nesquik,Social
309,3100000,Facebook,67084.21701307982,Mexico,Nesquik,Social
310,3110000,Facebook,67084.9923305423,Mexico,Nesquik,Social
311,3120000,Facebook,67085.74873676233,Mexico,Nesquik,Social
312,3130000,Facebook,67086.48669301558,Mexico,Nesquik,Social
313,3140000,Facebook,67087.2066493265,Mexico,Nesquik,Social
314,3150000,Facebook,67087.90904474266,Mexico,Nesquik,Social
315,3160000,Facebook,67088.5943076026,Mexico,Nesquik,Social
316,3170000,Facebook,67089.26285579697,Mexico,Nesquik,Social
317,3180000,Facebook,67089.91509702343,Mexico,Nesquik,Social
318,3190000,Facebook,67090.55142903517,Mexico,Nesquik,Social
319,3200000,Facebook,67091.1722398836,Mexico,Nesquik,Social
320,3210000,Facebook,67091.77790815491,Mexico,Nesquik,Social
321,3220000,Facebook,67092.36880320095,Mexico,Nesquik,Social
322,3230000,Facebook,67092.94528536449,Mexico,Nesquik,Social
323,3240000,Facebook,67093.50770619899,Mexico,Nesquik,Social
324,3250000,Facebook,67094.0564086829,Mexico,Nesquik,Social
325,3260000,Facebook,67094.5917274289,Mexico,Nesquik,Social
326,3270000,Facebook,67095.11398888793,Mexico,Nesquik,Social
327,3280000,Facebook,67095.62351154827,Mexico,Nesquik,Social
328,3290000,Facebook,67096.12060612976,Mexico,Nesquik,Social
329,3300000,Facebook,67096.60557577325,Mexico,Nesquik,Social
330,3310000,Facebook,67097.07871622554,Mexico,Nesquik,Social
331,3320000,Facebook,67097.54031601966,Mexico,Nesquik,Social
332,3330000,Facebook,67097.99065665086,Mexico,Nesquik,Social
333,3340000,Facebook,67098.43001274826,Mexico,Nesquik,Social
