,Date,Opt Channel,Value,Scenario,Budget/Revenue,Country,Brand,Channel Group,Channel
159,2023-01-29,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
160,2023-02-05,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
161,2023-02-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
162,2023-02-19,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
163,2023-02-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
164,2023-03-05,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
165,2023-03-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
166,2023-03-19,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
167,2023-03-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
168,2023-04-02,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
169,2023-04-09,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
170,2023-04-16,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
171,2023-04-23,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
172,2023-04-30,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
173,2023-05-07,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
174,2023-05-14,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
175,2023-05-21,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
176,2023-05-28,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
177,2023-06-04,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
178,2023-06-11,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
179,2023-06-18,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
180,2023-06-25,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
181,2023-07-02,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
182,2023-07-09,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
183,2023-07-16,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
184,2023-07-23,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
185,2023-07-30,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
186,2023-08-06,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
187,2023-08-13,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
188,2023-08-20,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
189,2023-08-27,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
190,2023-09-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
191,2023-09-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
192,2023-09-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
193,2023-09-24,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
194,2023-10-01,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
195,2020-01-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
196,2020-01-19,6Play_France_Chocapic,1035.5722562668882,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
197,2020-01-26,6Play_France_Chocapic,1059.676758785958,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
198,2020-02-02,6Play_France_Chocapic,1060.7798112183114,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
199,2020-02-09,6Play_France_Chocapic,86.47343601865795,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
200,2020-02-16,6Play_France_Chocapic,4.199359627689695,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
201,2020-02-23,6Play_France_Chocapic,0.19839853872999252,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
202,2020-03-01,6Play_France_Chocapic,0.009361108879082786,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
203,2020-03-08,6Play_France_Chocapic,0.0004416613404449308,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
204,2020-03-15,6Play_France_Chocapic,2.083772088065945e-05,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
205,2020-03-22,6Play_France_Chocapic,9.831300679146068e-07,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
206,2020-03-29,6Play_France_Chocapic,4.6384431312889546e-08,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
207,2020-04-05,6Play_France_Chocapic,2.188364697822341e-09,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
208,2020-04-12,6Play_France_Chocapic,1.0329523139490938e-10,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
209,2020-04-19,6Play_France_Chocapic,4.872416575231574e-12,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
210,2020-04-26,6Play_France_Chocapic,1.6241388584105249e-13,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
211,2020-05-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
212,2020-05-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
213,2020-05-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
214,2020-05-24,6Play_France_Chocapic,933.7899950322484,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
215,2020-05-31,6Play_France_Chocapic,1025.67093548647,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
216,2020-06-07,6Play_France_Chocapic,995.214830684624,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
217,2020-06-14,6Play_France_Chocapic,901.8072952129987,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
218,2020-06-21,6Play_France_Chocapic,715.4317433908617,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
219,2020-06-28,6Play_France_Chocapic,45.61951414592995,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
220,2020-07-05,6Play_France_Chocapic,2.184983537256677,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
221,2020-07-12,6Play_France_Chocapic,0.10316162041960432,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
222,2020-07-19,6Play_France_Chocapic,0.004867360483006292,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
223,2020-07-26,6Play_France_Chocapic,0.00022964392761393399,Scenario 1 (Unoptimised),ST Revenue,France,Chocapic,OLV,6Play
