Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: UK brand: Shreddies budget: 11100000,11100000.0,6014627.395799167,7224819.474606174,13239446.870405342,13246730.192404138,UK,Shreddies
region: UK brand: Shreddies budget: 11200000,11200000.000000002,6019879.80171141,7231379.862488481,13251259.664199892,13260917.852484973,UK,Shreddies
region: UK brand: Shreddies budget: 11300000,11300000.0,6025006.816386861,7237703.208099402,13262710.024486262,13274682.182695918,UK,Shreddies
region: UK brand: Shreddies budget: 11400000,11399999.99999949,6030012.410458635,7243802.750906152,13273815.161364786,13288035.81430786,UK,Shreddies
region: UK brand: Shreddies budget: 11500000,11499999.999999983,6034900.409518448,7249690.804224433,13284591.213742882,13300991.001701461,UK,Shreddies
region: UK brand: Shreddies budget: 11600000,11600000.000000002,6039674.499870939,7255378.828276005,13295053.328146944,13313559.6336121,UK,Shreddies
region: UK brand: Shreddies budget: 11700000,11699999.999999998,6044338.234048169,7260877.497092351,13305215.73114052,13325753.244040608,UK,Shreddies
region: UK brand: Shreddies budget: 11800000,11799999.999999834,6048895.036093602,7266196.759802475,13315091.795896076,13337583.02283747,UK,Shreddies
region: UK brand: Shreddies budget: 11900000,11899999.9999998,6053348.206625578,7271345.896795278,13324694.103420857,13349059.825971667,UK,Shreddies
region: UK brand: Shreddies budget: 1200000,1200000.0,1867685.3785447364,2398188.0223992714,4265873.400944008,4182051.299390224,UK,Shreddies
region: UK brand: Shreddies budget: 12000000,11999999.999999993,6057700.927693305,7276333.571207986,13334034.49890129,13360194.185492923,UK,Shreddies
region: UK brand: Shreddies budget: 1300000,1299999.9999999995,2021436.0253750433,2516261.880768225,4537697.906143269,4466709.869721718,UK,Shreddies
region: UK brand: Shreddies budget: 1400000,1400000.0000000002,2173413.599536158,2629260.1231497284,4802673.722685887,4742874.828361405,UK,Shreddies
region: UK brand: Shreddies budget: 1500000,1500000.0,2323889.0619658227,2737265.455161342,5061154.517127165,5010799.606778028,UK,Shreddies
region: UK brand: Shreddies budget: 1600000,1600000.0000000002,2472766.2100119,2840700.382472705,5313466.592484605,5270730.074579538,UK,Shreddies
region: UK brand: Shreddies budget: 1700000,1700000.0000000002,2620044.9000213337,2939866.094947452,5559910.994968786,5522904.76514305,UK,Shreddies
region: UK brand: Shreddies budget: 1800000,1800000.0000000007,2762352.3413632,3038386.7236526744,5800739.065015875,5767555.094512541,UK,Shreddies
region: UK brand: Shreddies budget: 1900000,1900000.000003548,2874037.7567495727,3159505.3047952997,6033543.061544873,6004905.573773328,UK,Shreddies
region: UK brand: Shreddies budget: 200000,200000.00000114046,277534.14129357354,751037.324138712,1028571.4654322856,806667.4399452584,UK,Shreddies
region: UK brand: Shreddies budget: 2000000,2000000.0000000333,2982839.901194399,3274792.0918752872,6257631.993069686,6235174.015040358,UK,Shreddies
region: UK brand: Shreddies budget: 2100000,2100000.0,3089370.3653984936,3384350.1432675123,6473720.508666006,6458571.731422924,UK,Shreddies
region: UK brand: Shreddies budget: 2200000,2200000.0000000005,3191178.8539734273,3490955.6509792227,6682134.5049526505,6675303.730860591,UK,Shreddies
region: UK brand: Shreddies budget: 2300000,2300000.0,3291262.705524188,3592008.862407182,6883271.56793137,6885568.904295899,UK,Shreddies
region: UK brand: Shreddies budget: 2400000,2400000.000000001,3388533.7221313673,3689175.9668283444,7077709.688959712,7089560.208185,UK,Shreddies
region: UK brand: Shreddies budget: 2500000,2500000.0000058413,3487129.009646341,3779124.136790276,7266253.146436617,7287464.841581511,UK,Shreddies
